fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.80,0.47,0.49,2.90,0.09,17.00,110.00,1.00,3.29,0.60,9.80,5.00
10.60,0.31,0.49,2.20,0.06,18.00,40.00,1.00,3.14,0.51,9.80,6.00
12.30,0.50,0.49,2.20,0.09,5.00,14.00,1.00,3.19,0.44,9.60,5.00
12.30,0.50,0.49,2.20,0.09,5.00,14.00,1.00,3.19,0.44,9.60,5.00
11.70,0.49,0.49,2.20,0.08,5.00,15.00,1.00,3.19,0.43,9.20,5.00
12.00,0.28,0.49,1.90,0.07,10.00,21.00,1.00,2.98,0.66,9.90,7.00
11.80,0.33,0.49,3.40,0.09,54.00,80.00,1.00,3.30,0.76,10.70,7.00
7.60,0.51,0.24,2.40,0.09,8.00,38.00,1.00,3.47,0.66,9.60,6.00
11.10,0.31,0.49,2.70,0.09,16.00,47.00,1.00,3.12,1.02,10.60,7.00
7.30,0.73,0.24,1.90,0.11,18.00,102.00,1.00,3.26,0.59,9.30,5.00
5.00,0.42,0.24,2.00,0.06,19.00,50.00,0.99,3.72,0.74,14.00,8.00
10.20,0.29,0.49,2.60,0.06,5.00,13.00,1.00,3.05,0.74,10.50,7.00
9.00,0.45,0.49,2.60,0.08,21.00,75.00,1.00,3.35,0.57,9.70,5.00
6.60,0.39,0.49,1.70,0.07,23.00,149.00,0.99,3.12,0.50,11.50,6.00
9.00,0.45,0.49,2.60,0.08,21.00,75.00,1.00,3.35,0.57,9.70,5.00
9.90,0.49,0.58,3.50,0.09,9.00,43.00,1.00,3.29,0.58,9.00,5.00
7.90,0.72,0.17,2.60,0.10,20.00,38.00,1.00,3.40,0.53,9.50,5.00
8.90,0.60,0.41,7.90,0.09,30.00,109.00,1.00,3.27,0.57,9.30,5.00
12.40,0.40,0.51,2.00,0.06,6.00,24.00,1.00,3.04,0.60,9.30,6.00
11.90,0.58,0.58,1.90,0.07,5.00,18.00,1.00,3.09,0.63,10.00,6.00
8.50,0.59,0.18,2.10,0.08,5.00,30.00,1.00,3.20,0.48,9.80,6.00
12.70,0.59,0.45,2.30,0.08,11.00,22.00,1.00,3.00,0.70,9.30,6.00
8.20,0.92,0.27,2.10,0.09,7.00,23.00,1.00,3.26,0.47,10.00,4.00
13.20,0.46,0.52,2.20,0.07,12.00,35.00,1.00,3.10,0.56,9.00,6.00
7.70,0.84,0.00,2.60,0.08,6.00,14.00,1.00,3.30,0.52,9.30,5.00
13.20,0.46,0.52,2.20,0.07,12.00,35.00,1.00,3.10,0.56,9.00,6.00
8.30,0.58,0.13,2.90,0.10,14.00,63.00,1.00,3.17,0.62,9.10,6.00
8.30,0.60,0.13,2.60,0.09,6.00,24.00,1.00,3.31,0.59,9.20,6.00
9.40,0.41,0.48,4.60,0.07,10.00,20.00,1.00,3.34,0.79,12.20,7.00
8.80,0.48,0.41,3.30,0.09,26.00,52.00,1.00,3.31,0.53,10.50,6.00
10.10,0.65,0.37,5.10,0.11,11.00,65.00,1.00,3.32,0.64,10.40,6.00
6.30,0.36,0.19,3.20,0.08,15.00,39.00,1.00,3.56,0.52,12.70,6.00
8.80,0.24,0.54,2.50,0.08,25.00,57.00,1.00,3.39,0.54,9.20,5.00
13.20,0.38,0.55,2.70,0.08,5.00,16.00,1.00,2.98,0.54,9.40,5.00
7.50,0.64,0.00,2.40,0.08,18.00,29.00,1.00,3.32,0.60,10.00,6.00
8.20,0.39,0.38,1.50,0.06,10.00,29.00,1.00,3.26,0.74,9.80,5.00
9.20,0.76,0.18,2.20,0.15,10.00,103.00,1.00,2.87,1.36,10.20,6.00
9.60,0.60,0.50,2.30,0.08,28.00,71.00,1.00,3.50,0.57,9.70,5.00
9.60,0.60,0.50,2.30,0.08,28.00,71.00,1.00,3.50,0.57,9.70,5.00
11.50,0.31,0.51,2.20,0.08,14.00,28.00,1.00,3.03,0.93,9.80,6.00
11.40,0.46,0.50,2.70,0.12,4.00,17.00,1.00,3.13,0.70,10.20,5.00
11.30,0.37,0.41,2.30,0.09,6.00,16.00,1.00,3.09,0.80,9.30,5.00
8.30,0.54,0.24,3.40,0.08,16.00,112.00,1.00,3.27,0.61,9.40,5.00
8.20,0.56,0.23,3.40,0.08,14.00,104.00,1.00,3.28,0.62,9.40,5.00
10.00,0.58,0.22,1.90,0.08,9.00,32.00,1.00,3.13,0.55,9.50,5.00
7.90,0.51,0.25,2.90,0.08,21.00,45.00,1.00,3.49,0.96,12.10,6.00
6.80,0.69,0.00,5.60,0.12,21.00,58.00,1.00,3.46,0.72,10.20,5.00
6.80,0.69,0.00,5.60,0.12,21.00,58.00,1.00,3.46,0.72,10.20,5.00
8.80,0.60,0.29,2.20,0.10,5.00,15.00,1.00,3.36,0.49,9.10,5.00
8.80,0.60,0.29,2.20,0.10,5.00,15.00,1.00,3.36,0.49,9.10,5.00
8.70,0.54,0.26,2.50,0.10,7.00,31.00,1.00,3.27,0.60,9.30,6.00
7.60,0.69,0.23,2.30,0.11,20.00,84.00,1.00,3.21,0.61,9.30,5.00
8.70,0.54,0.26,2.50,0.10,7.00,31.00,1.00,3.27,0.60,9.30,6.00
10.40,0.28,0.54,2.70,0.11,5.00,19.00,1.00,3.25,0.63,9.50,5.00
7.60,0.41,0.14,3.00,0.09,21.00,43.00,1.00,3.32,0.57,10.50,6.00
10.10,0.94,0.22,3.40,0.11,11.00,86.00,1.00,3.43,0.64,11.30,4.00
7.90,0.35,0.21,1.90,0.07,46.00,102.00,1.00,3.27,0.58,9.50,5.00
8.70,0.84,0.00,1.40,0.07,24.00,33.00,1.00,3.27,0.55,9.70,5.00
9.60,0.88,0.28,2.40,0.09,30.00,147.00,1.00,3.24,0.53,9.40,5.00
9.50,0.89,0.27,2.30,0.08,31.00,145.00,1.00,3.24,0.53,9.40,5.00
7.70,0.92,0.12,2.20,0.14,7.00,23.00,1.00,3.35,0.65,10.20,7.00
8.90,0.29,0.35,1.90,0.07,25.00,57.00,1.00,3.18,1.36,10.30,6.00
9.90,0.54,0.45,2.30,0.07,16.00,40.00,1.00,3.39,0.62,9.40,5.00
9.50,0.59,0.44,2.30,0.07,21.00,68.00,1.00,3.46,0.63,9.50,5.00
9.90,0.54,0.45,2.30,0.07,16.00,40.00,1.00,3.39,0.62,9.40,5.00
9.50,0.59,0.44,2.30,0.07,21.00,68.00,1.00,3.46,0.63,9.50,5.00
9.90,0.54,0.45,2.30,0.07,16.00,40.00,1.00,3.39,0.62,9.40,5.00
7.80,0.64,0.10,6.00,0.12,5.00,11.00,1.00,3.37,0.69,10.10,7.00
7.30,0.67,0.05,3.60,0.11,6.00,20.00,1.00,3.40,0.63,10.10,5.00
8.30,0.85,0.01,2.20,0.07,5.00,14.00,1.00,3.32,0.58,11.00,4.00
8.70,0.48,0.30,2.80,0.07,10.00,28.00,1.00,3.33,0.67,11.20,7.00
6.70,0.42,0.27,8.60,0.07,24.00,148.00,0.99,3.16,0.57,11.30,6.00
10.70,0.43,0.39,2.20,0.11,8.00,32.00,1.00,2.89,0.50,9.60,5.00
9.80,0.88,0.25,2.50,0.10,35.00,155.00,1.00,3.41,0.67,11.20,5.00
15.90,0.36,0.65,7.50,0.10,22.00,71.00,1.00,2.98,0.84,14.90,5.00
9.40,0.33,0.59,2.80,0.08,9.00,30.00,1.00,3.12,0.54,12.00,6.00
8.60,0.47,0.47,2.40,0.07,7.00,29.00,1.00,3.08,0.46,9.50,5.00
9.70,0.55,0.17,2.90,0.09,20.00,53.00,1.00,3.14,0.61,9.40,5.00
10.70,0.43,0.39,2.20,0.11,8.00,32.00,1.00,2.89,0.50,9.60,5.00
12.00,0.50,0.59,1.40,0.07,23.00,42.00,1.00,2.92,0.68,10.50,7.00
7.20,0.52,0.07,1.40,0.07,5.00,20.00,1.00,3.32,0.81,9.60,6.00
7.10,0.84,0.02,4.40,0.10,5.00,13.00,1.00,3.41,0.57,11.00,4.00
7.20,0.52,0.07,1.40,0.07,5.00,20.00,1.00,3.32,0.81,9.60,6.00
7.50,0.42,0.31,1.60,0.08,15.00,42.00,1.00,3.31,0.64,9.00,5.00
7.20,0.57,0.06,1.60,0.08,9.00,27.00,1.00,3.36,0.70,9.60,6.00
10.10,0.28,0.46,1.80,0.05,5.00,13.00,1.00,3.04,0.79,10.20,6.00
12.10,0.40,0.52,2.00,0.09,15.00,54.00,1.00,3.03,0.66,10.20,5.00
9.40,0.59,0.14,2.00,0.08,25.00,48.00,1.00,3.14,0.56,9.70,5.00
8.30,0.49,0.36,1.80,0.22,6.00,16.00,1.00,3.18,0.60,9.50,6.00
11.30,0.34,0.45,2.00,0.08,6.00,15.00,1.00,2.94,0.66,9.20,6.00
10.00,0.73,0.43,2.30,0.06,15.00,31.00,1.00,3.15,0.57,11.00,5.00
11.30,0.34,0.45,2.00,0.08,6.00,15.00,1.00,2.94,0.66,9.20,6.00
6.90,0.40,0.24,2.50,0.08,30.00,45.00,1.00,3.26,0.58,10.00,5.00
8.20,0.73,0.21,1.70,0.07,5.00,13.00,1.00,3.20,0.52,9.50,5.00
9.80,1.24,0.34,2.00,0.08,32.00,151.00,1.00,3.15,0.53,9.50,5.00
8.20,0.73,0.21,1.70,0.07,5.00,13.00,1.00,3.20,0.52,9.50,5.00
10.80,0.40,0.41,2.20,0.08,7.00,17.00,1.00,3.08,0.67,9.30,6.00
9.30,0.41,0.39,2.20,0.06,12.00,31.00,1.00,3.26,0.65,10.20,5.00
10.80,0.40,0.41,2.20,0.08,7.00,17.00,1.00,3.08,0.67,9.30,6.00
8.60,0.80,0.11,2.30,0.08,12.00,31.00,1.00,3.40,0.48,9.90,5.00
8.30,0.78,0.10,2.60,0.08,45.00,87.00,1.00,3.48,0.53,10.00,5.00
10.80,0.26,0.45,3.30,0.06,20.00,49.00,1.00,3.13,0.54,9.60,5.00
13.30,0.43,0.58,1.90,0.07,15.00,40.00,1.00,3.06,0.49,9.00,5.00
8.00,0.45,0.23,2.20,0.09,16.00,29.00,1.00,3.21,0.49,10.20,6.00
8.50,0.46,0.31,2.25,0.08,32.00,58.00,1.00,3.33,0.54,9.80,5.00
8.10,0.78,0.23,2.60,0.06,5.00,15.00,1.00,3.37,0.56,11.30,5.00
9.80,0.98,0.32,2.30,0.08,35.00,152.00,1.00,3.25,0.48,9.40,5.00
8.10,0.78,0.23,2.60,0.06,5.00,15.00,1.00,3.37,0.56,11.30,5.00
7.10,0.65,0.18,1.80,0.07,13.00,40.00,1.00,3.44,0.60,9.10,5.00
9.10,0.64,0.23,3.10,0.10,13.00,38.00,1.00,3.28,0.59,9.70,5.00
7.70,0.66,0.04,1.60,0.04,4.00,9.00,1.00,3.40,0.47,9.40,5.00
8.10,0.38,0.48,1.80,0.16,5.00,17.00,1.00,3.30,1.05,9.40,5.00
7.40,1.19,0.00,4.25,0.10,5.00,14.00,1.00,3.63,0.54,10.70,3.00
9.20,0.92,0.24,2.60,0.09,12.00,93.00,1.00,3.48,0.54,9.80,5.00
8.60,0.49,0.51,2.00,0.42,16.00,62.00,1.00,3.03,1.17,9.00,5.00
9.00,0.48,0.32,2.80,0.08,21.00,122.00,1.00,3.32,0.62,9.40,5.00
9.00,0.47,0.31,2.70,0.08,24.00,125.00,1.00,3.31,0.61,9.40,5.00
5.10,0.47,0.02,1.30,0.03,18.00,44.00,0.99,3.90,0.62,12.80,6.00
7.00,0.65,0.02,2.10,0.07,8.00,25.00,1.00,3.47,0.67,9.50,6.00
7.00,0.65,0.02,2.10,0.07,8.00,25.00,1.00,3.47,0.67,9.50,6.00
9.40,0.62,0.28,3.20,0.09,18.00,72.00,1.00,3.31,0.53,9.70,5.00
11.80,0.38,0.55,2.10,0.07,5.00,19.00,1.00,3.11,0.62,10.80,6.00
10.60,1.02,0.43,2.90,0.08,26.00,88.00,1.00,3.08,0.57,10.10,6.00
7.00,0.65,0.02,2.10,0.07,8.00,25.00,1.00,3.47,0.67,9.50,6.00
7.00,0.64,0.02,2.10,0.07,9.00,23.00,1.00,3.47,0.67,9.40,6.00
7.50,0.38,0.48,2.60,0.07,22.00,84.00,1.00,3.32,0.70,9.60,4.00
9.10,0.77,0.04,1.60,0.08,4.00,14.00,1.00,3.29,0.54,9.70,4.00
8.40,1.04,0.15,6.00,0.07,11.00,54.00,1.00,3.37,0.49,9.90,5.00
7.00,0.78,0.08,2.00,0.09,10.00,19.00,1.00,3.40,0.47,10.00,5.00
7.40,0.49,0.19,3.00,0.08,16.00,37.00,1.00,3.37,0.51,10.50,5.00
7.80,0.55,0.12,2.50,0.07,11.00,35.00,1.00,3.34,0.61,11.60,6.00
9.70,0.31,0.47,1.60,0.06,13.00,33.00,1.00,3.27,0.66,10.00,6.00
10.60,1.03,0.43,2.80,0.08,21.00,84.00,1.00,3.06,0.57,10.10,5.00
8.90,0.57,0.34,3.00,0.09,16.00,112.00,1.00,3.38,0.61,9.50,5.00
8.70,0.69,0.00,3.20,0.08,13.00,33.00,1.00,3.36,0.45,9.40,5.00
8.00,0.43,0.36,2.30,0.08,10.00,48.00,1.00,3.34,0.46,9.40,5.00
9.90,0.74,0.28,2.60,0.08,21.00,77.00,1.00,3.28,0.51,9.80,5.00
7.20,0.49,0.18,2.70,0.07,13.00,34.00,1.00,3.29,0.48,9.20,6.00
8.00,0.43,0.36,2.30,0.08,10.00,48.00,1.00,3.34,0.46,9.40,5.00
7.60,0.46,0.11,2.60,0.08,12.00,49.00,1.00,3.21,0.57,10.00,5.00
8.40,0.56,0.04,2.00,0.08,10.00,22.00,1.00,3.22,0.44,9.60,5.00
7.10,0.66,0.00,3.90,0.09,17.00,45.00,1.00,3.46,0.54,9.50,5.00
8.40,0.56,0.04,2.00,0.08,10.00,22.00,1.00,3.22,0.44,9.60,5.00
8.90,0.48,0.24,2.85,0.09,35.00,106.00,1.00,3.10,0.53,9.20,5.00
7.60,0.42,0.08,2.70,0.08,15.00,48.00,1.00,3.21,0.59,10.00,5.00
7.10,0.31,0.30,2.20,0.05,36.00,127.00,1.00,2.94,1.62,9.50,5.00
7.50,1.12,0.10,3.10,0.09,5.00,12.00,1.00,3.54,0.60,11.20,4.00
9.00,0.66,0.17,3.00,0.08,5.00,13.00,1.00,3.29,0.55,10.40,5.00
8.10,0.72,0.09,2.80,0.08,18.00,49.00,1.00,3.43,0.72,11.10,6.00
6.40,0.57,0.02,1.80,0.07,4.00,11.00,1.00,3.46,0.68,9.50,5.00
6.40,0.57,0.02,1.80,0.07,4.00,11.00,1.00,3.46,0.68,9.50,5.00
6.40,0.87,0.03,3.20,0.07,27.00,58.00,1.00,3.61,0.49,12.70,6.00
9.50,0.55,0.66,2.30,0.39,12.00,37.00,1.00,3.17,0.67,9.60,5.00
8.90,0.88,0.13,3.45,0.09,4.00,14.00,1.00,3.44,0.52,11.50,5.00
7.30,0.84,0.03,2.10,0.09,10.00,19.00,1.00,3.39,0.47,9.60,5.00
7.00,0.45,0.34,2.70,0.08,16.00,72.00,1.00,3.55,0.60,9.50,5.00
7.70,0.56,0.20,2.00,0.08,9.00,39.00,1.00,3.48,0.62,9.30,5.00
7.70,0.97,0.10,2.10,0.11,11.00,22.00,1.00,3.26,0.50,9.50,5.00
7.70,0.97,0.10,2.10,0.11,11.00,22.00,1.00,3.26,0.50,9.50,5.00
8.20,0.59,0.00,2.50,0.09,19.00,58.00,1.00,3.50,0.65,9.30,6.00
9.00,0.46,0.23,2.80,0.09,28.00,104.00,1.00,3.10,0.56,9.20,5.00
9.00,0.69,0.00,2.40,0.09,19.00,38.00,1.00,3.35,0.60,9.30,5.00
8.30,0.76,0.29,4.20,0.08,12.00,16.00,1.00,3.45,0.68,11.50,6.00
9.20,0.53,0.24,2.60,0.08,28.00,139.00,1.00,3.21,0.57,9.50,5.00
6.50,0.62,0.00,1.90,0.07,9.00,18.00,1.00,3.46,0.65,9.20,5.00
11.60,0.41,0.58,2.80,0.10,25.00,101.00,1.00,3.13,0.53,10.00,5.00
11.10,0.39,0.54,2.70,0.10,21.00,101.00,1.00,3.13,0.51,9.50,5.00
7.30,0.51,0.18,2.10,0.07,12.00,28.00,1.00,3.52,0.73,9.50,6.00
8.20,0.34,0.38,2.50,0.08,12.00,57.00,1.00,3.30,0.47,9.00,6.00
8.60,0.33,0.40,2.60,0.08,16.00,68.00,1.00,3.30,0.48,9.40,5.00
7.20,0.50,0.18,2.10,0.07,12.00,31.00,1.00,3.52,0.72,9.60,6.00
7.30,0.51,0.18,2.10,0.07,12.00,28.00,1.00,3.52,0.73,9.50,6.00
8.30,0.65,0.10,2.90,0.09,17.00,40.00,1.00,3.29,0.55,9.50,5.00
8.30,0.65,0.10,2.90,0.09,17.00,40.00,1.00,3.29,0.55,9.50,5.00
7.60,0.54,0.13,2.50,0.10,24.00,66.00,1.00,3.39,0.61,9.40,5.00
8.30,0.65,0.10,2.90,0.09,17.00,40.00,1.00,3.29,0.55,9.50,5.00
7.80,0.48,0.68,1.70,0.42,14.00,32.00,1.00,3.09,1.06,9.10,6.00
7.80,0.91,0.07,1.90,0.06,22.00,47.00,1.00,3.51,0.43,10.70,6.00
6.30,0.98,0.01,2.00,0.06,15.00,33.00,0.99,3.60,0.46,11.20,6.00
8.10,0.87,0.00,2.20,0.08,10.00,31.00,1.00,3.25,0.50,9.80,5.00
8.10,0.87,0.00,2.20,0.08,10.00,31.00,1.00,3.25,0.50,9.80,5.00
8.80,0.42,0.21,2.50,0.09,33.00,88.00,1.00,3.19,0.52,9.20,5.00
9.00,0.58,0.25,2.80,0.08,9.00,104.00,1.00,3.23,0.57,9.70,5.00
9.30,0.66,0.26,2.00,0.10,5.00,35.00,1.00,3.25,0.42,9.60,5.00
8.80,0.70,0.00,1.70,0.07,8.00,19.00,1.00,3.31,0.53,10.00,6.00
9.30,0.66,0.26,2.00,0.10,5.00,35.00,1.00,3.25,0.42,9.60,5.00
9.10,0.68,0.11,2.80,0.09,11.00,44.00,1.00,3.31,0.55,9.50,6.00
9.20,0.67,0.10,3.00,0.09,12.00,48.00,1.00,3.31,0.54,9.50,6.00
8.80,0.59,0.18,2.90,0.09,12.00,74.00,1.00,3.14,0.54,9.40,5.00
7.50,0.60,0.32,2.70,0.10,13.00,98.00,1.00,3.45,0.62,9.50,5.00
7.10,0.59,0.02,2.30,0.08,24.00,94.00,1.00,3.55,0.53,9.70,6.00
7.90,0.72,0.01,1.90,0.08,7.00,32.00,1.00,3.39,0.54,9.60,5.00
7.10,0.59,0.02,2.30,0.08,24.00,94.00,1.00,3.55,0.53,9.70,6.00
9.40,0.69,0.26,2.40,0.08,23.00,143.00,1.00,3.28,0.55,9.40,5.00
9.50,0.57,0.27,2.30,0.08,23.00,144.00,1.00,3.27,0.55,9.40,5.00
7.90,0.40,0.29,1.80,0.16,1.00,44.00,1.00,3.30,0.92,9.50,6.00
7.90,0.40,0.30,1.80,0.16,2.00,45.00,1.00,3.31,0.91,9.50,6.00
7.20,1.00,0.00,3.00,0.10,7.00,16.00,1.00,3.43,0.46,10.00,5.00
6.90,0.77,0.18,2.40,0.24,5.50,48.00,1.00,3.40,0.60,10.30,6.00
6.90,0.64,0.17,2.40,0.24,6.00,18.00,1.00,3.40,0.59,10.30,6.00
8.30,0.43,0.30,3.40,0.08,7.00,34.00,1.00,3.36,0.61,10.50,5.00
7.10,0.52,0.03,2.60,0.08,21.00,92.00,1.00,3.50,0.60,9.80,5.00
7.00,0.57,0.00,2.00,0.19,12.00,45.00,1.00,3.31,0.60,9.40,6.00
6.50,0.46,0.14,2.40,0.11,9.00,37.00,1.00,3.66,0.65,9.80,5.00
9.00,0.82,0.05,2.40,0.08,26.00,96.00,1.00,3.36,0.53,10.00,5.00
6.50,0.46,0.14,2.40,0.11,9.00,37.00,1.00,3.66,0.65,9.80,5.00
7.10,0.59,0.01,2.50,0.08,20.00,85.00,1.00,3.55,0.59,9.80,5.00
9.90,0.35,0.41,2.30,0.08,11.00,61.00,1.00,3.21,0.50,9.50,5.00
9.90,0.35,0.41,2.30,0.08,11.00,61.00,1.00,3.21,0.50,9.50,5.00
10.00,0.56,0.24,2.20,0.08,19.00,58.00,1.00,3.18,0.56,10.10,6.00
10.00,0.56,0.24,2.20,0.08,19.00,58.00,1.00,3.18,0.56,10.10,6.00
8.60,0.63,0.17,2.90,0.10,21.00,119.00,1.00,3.09,0.52,9.30,5.00
7.40,0.37,0.43,2.60,0.08,18.00,82.00,1.00,3.33,0.68,9.70,6.00
8.80,0.64,0.17,2.90,0.08,25.00,130.00,1.00,3.23,0.54,9.60,5.00
7.10,0.61,0.02,2.50,0.08,17.00,87.00,1.00,3.48,0.60,9.70,6.00
7.70,0.60,0.00,2.60,0.06,7.00,13.00,1.00,3.38,0.56,10.80,5.00
10.10,0.27,0.54,2.30,0.07,7.00,26.00,1.00,3.17,0.53,12.50,6.00
10.80,0.89,0.30,2.60,0.13,7.00,60.00,1.00,2.99,1.18,10.20,5.00
8.70,0.46,0.31,2.50,0.13,24.00,64.00,1.00,3.10,0.74,9.60,5.00
9.30,0.37,0.44,1.60,0.04,21.00,42.00,1.00,3.24,0.81,10.80,7.00
9.40,0.50,0.34,3.60,0.08,5.00,14.00,1.00,3.29,0.52,10.70,6.00
9.40,0.50,0.34,3.60,0.08,5.00,14.00,1.00,3.29,0.52,10.70,6.00
7.20,0.61,0.08,4.00,0.08,26.00,108.00,1.00,3.25,0.51,9.40,5.00
8.60,0.55,0.09,3.30,0.07,8.00,17.00,1.00,3.23,0.44,10.00,5.00
5.10,0.59,0.00,1.70,0.04,14.00,86.00,0.99,3.56,0.94,12.90,7.00
7.70,0.56,0.08,2.50,0.11,14.00,46.00,1.00,3.24,0.66,9.60,6.00
8.40,0.52,0.22,2.70,0.08,4.00,18.00,1.00,3.26,0.57,9.90,6.00
8.20,0.28,0.40,2.40,0.05,4.00,10.00,0.99,3.33,0.70,12.80,7.00
8.40,0.25,0.39,2.00,0.04,4.00,10.00,0.99,3.27,0.71,12.50,7.00
8.20,0.28,0.40,2.40,0.05,4.00,10.00,0.99,3.33,0.70,12.80,7.00
7.40,0.53,0.12,1.90,0.17,4.00,12.00,1.00,3.26,0.86,9.20,5.00
7.60,0.48,0.31,2.80,0.07,4.00,15.00,1.00,3.22,0.55,10.30,6.00
7.30,0.49,0.10,2.60,0.07,4.00,14.00,1.00,3.30,0.47,10.50,5.00
12.90,0.50,0.55,2.80,0.07,7.00,24.00,1.00,3.09,0.68,10.90,6.00
10.80,0.45,0.33,2.50,0.10,20.00,38.00,1.00,3.24,0.71,10.80,5.00
6.90,0.39,0.24,2.10,0.10,4.00,7.00,0.99,3.44,0.58,11.40,4.00
12.60,0.41,0.54,2.80,0.10,19.00,41.00,1.00,3.21,0.76,11.30,6.00
10.80,0.45,0.33,2.50,0.10,20.00,38.00,1.00,3.24,0.71,10.80,5.00
9.80,0.51,0.19,3.20,0.08,8.00,30.00,1.00,3.23,0.58,10.50,6.00
10.80,0.29,0.42,1.60,0.08,19.00,27.00,1.00,3.28,0.73,11.90,6.00
7.10,0.72,0.00,2.35,0.07,21.00,47.00,1.00,3.29,0.45,9.40,5.00
9.10,0.66,0.15,3.20,0.10,9.00,59.00,1.00,3.28,0.54,9.60,5.00
7.00,0.69,0.00,1.90,0.10,9.00,22.00,1.00,3.34,0.60,9.70,5.00
4.90,0.42,0.00,2.10,0.05,16.00,42.00,0.99,3.71,0.74,14.00,7.00
6.70,0.54,0.13,2.00,0.08,15.00,36.00,1.00,3.61,0.64,9.80,5.00
6.70,0.54,0.13,2.00,0.08,15.00,36.00,1.00,3.61,0.64,9.80,5.00
7.10,0.48,0.28,2.80,0.07,6.00,16.00,1.00,3.24,0.53,10.30,5.00
7.10,0.46,0.14,2.80,0.08,15.00,37.00,1.00,3.36,0.49,10.70,5.00
7.50,0.27,0.34,2.30,0.05,4.00,8.00,1.00,3.40,0.64,11.00,7.00
7.10,0.46,0.14,2.80,0.08,15.00,37.00,1.00,3.36,0.49,10.70,5.00
7.80,0.57,0.09,2.30,0.07,34.00,45.00,0.99,3.46,0.74,12.70,8.00
5.90,0.61,0.08,2.10,0.07,16.00,24.00,0.99,3.56,0.77,11.10,6.00
7.50,0.69,0.07,2.50,0.06,5.00,9.00,1.00,3.38,0.55,10.90,4.00
5.90,0.61,0.08,2.10,0.07,16.00,24.00,0.99,3.56,0.77,11.10,6.00
10.40,0.44,0.42,1.50,0.15,34.00,48.00,1.00,3.38,0.86,9.90,3.00
11.60,0.47,0.44,1.60,0.15,36.00,51.00,1.00,3.38,0.86,9.90,4.00
8.80,0.69,0.26,1.60,0.09,16.00,23.00,1.00,3.32,0.47,9.40,5.00
7.60,0.67,0.10,1.50,0.07,27.00,55.00,1.00,3.39,0.51,9.30,5.00
6.70,0.28,0.28,2.40,0.01,36.00,100.00,0.99,3.26,0.39,11.70,7.00
6.70,0.28,0.28,2.40,0.01,36.00,100.00,0.99,3.26,0.39,11.70,7.00
10.10,0.31,0.35,1.60,0.08,9.00,28.00,1.00,3.24,0.83,11.20,7.00
6.00,0.50,0.04,2.20,0.09,13.00,26.00,1.00,3.46,0.47,10.00,5.00
11.10,0.42,0.47,2.65,0.09,9.00,34.00,1.00,3.24,0.77,12.10,7.00
6.60,0.66,0.00,3.00,0.12,21.00,31.00,1.00,3.45,0.63,10.30,5.00
10.60,0.50,0.45,2.60,0.12,34.00,68.00,1.00,3.23,0.72,10.90,6.00
7.10,0.69,0.35,2.00,0.09,9.00,92.00,1.00,3.28,0.62,9.40,5.00
9.90,0.25,0.46,1.70,0.06,26.00,42.00,1.00,3.18,0.83,10.60,6.00
6.40,0.64,0.21,1.80,0.08,14.00,31.00,1.00,3.59,0.66,9.80,5.00
6.40,0.64,0.21,1.80,0.08,14.00,31.00,1.00,3.59,0.66,9.80,5.00
7.40,0.68,0.16,1.80,0.08,12.00,39.00,1.00,3.50,0.70,9.90,6.00
6.40,0.64,0.21,1.80,0.08,14.00,31.00,1.00,3.59,0.66,9.80,5.00
6.40,0.63,0.21,1.60,0.08,12.00,32.00,1.00,3.58,0.66,9.80,5.00
9.30,0.43,0.44,1.90,0.09,9.00,22.00,1.00,3.28,0.55,9.50,5.00
9.30,0.43,0.44,1.90,0.09,9.00,22.00,1.00,3.28,0.55,9.50,5.00
8.00,0.42,0.32,2.50,0.08,26.00,122.00,1.00,3.22,1.07,9.70,5.00
9.30,0.36,0.39,1.50,0.08,41.00,55.00,1.00,3.47,0.73,10.90,6.00
9.30,0.36,0.39,1.50,0.08,41.00,55.00,1.00,3.47,0.73,10.90,6.00
7.60,0.74,0.02,2.50,0.07,10.00,14.00,1.00,3.51,0.71,11.70,7.00
9.30,0.36,0.39,1.50,0.08,41.00,55.00,1.00,3.47,0.73,10.90,6.00
8.20,0.26,0.34,2.50,0.07,16.00,47.00,1.00,3.40,0.78,11.30,7.00
11.70,0.28,0.47,1.70,0.05,17.00,32.00,1.00,3.15,0.67,10.60,7.00
6.80,0.56,0.22,1.80,0.07,15.00,24.00,0.99,3.40,0.82,11.20,6.00
7.20,0.62,0.06,2.70,0.08,15.00,85.00,1.00,3.51,0.54,9.50,5.00
5.80,1.01,0.66,2.00,0.04,15.00,88.00,0.99,3.66,0.60,11.50,6.00
7.50,0.42,0.32,2.70,0.07,7.00,25.00,1.00,3.24,0.44,10.40,5.00
7.20,0.62,0.06,2.50,0.08,17.00,84.00,1.00,3.51,0.53,9.70,5.00
7.20,0.62,0.06,2.70,0.08,15.00,85.00,1.00,3.51,0.54,9.50,5.00
7.20,0.64,0.07,2.60,0.08,16.00,86.00,1.00,3.51,0.54,9.70,5.00
6.80,0.49,0.22,2.30,0.07,13.00,24.00,0.99,3.41,0.83,11.30,6.00
6.90,0.51,0.23,2.00,0.07,13.00,22.00,0.99,3.40,0.84,11.20,6.00
